Date,Province/State,Population,Deaths,Confirmed
2020-03-12,Kansas,2913314,0,4
2020-03-12,Kentucky,4467673,0,10
2020-03-12,Louisiana,4648794,0,19
2020-03-12,Maine,1344212,0,1
2020-03-12,Maryland,6045680,0,12
2020-03-12,Massachusetts,6892503,0,107
2020-03-12,Michigan,9986857,0,2
2020-03-12,Minnesota,5639632,0,9
2020-03-12,Mississippi,2976149,0,1
2020-03-12,Missouri,6626371,0,2
2020-03-12,Nebraska,1934408,0,10
2020-03-12,Nevada,3080156,0,10
2020-03-12,New Hampshire,1359711,0,6
2020-03-12,New Jersey,8882190,1,29
2020-03-12,New Mexico,2096829,0,5
2020-03-12,New York,23628065,0,327
2020-03-12,North Carolina,10488084,0,15
2020-03-12,North Dakota,762062,0,1
2020-03-12,Ohio,11689100,0,5
2020-03-12,Oklahoma,3956971,0,3
2020-03-12,Oregon,4217737,0,24
2020-03-12,Pennsylvania,12801989,0,22
2020-03-12,Rhode Island,1059361,0,3
2020-03-12,South Carolina,5148714,0,7
2020-03-12,South Dakota,884659,1,7
2020-03-12,Tennessee,6829174,0,18
2020-03-12,Texas,28995881,0,27
2020-03-12,Utah,3205958,0,3
2020-03-12,Vermont,623989,0,2
2020-03-12,Virginia,8535519,0,12
2020-03-12,Washington,7614893,31,442
2020-03-12,Wisconsin,5822434,0,8
2020-03-12,Wyoming,578759,0,1
2020-03-13,Alabama,4903185,0,5
2020-03-13,Alaska,731545,0,1
2020-03-13,Arizona,7278717,0,9
2020-03-13,Arkansas,3017804,0,9
2020-03-13,California,39512223,4,281
2020-03-13,Colorado,5758736,1,76
2020-03-13,Connecticut,3565287,0,11
2020-03-13,Delaware,973764,0,4
2020-03-13,Florida,21477737,2,50
2020-03-13,Georgia,10617423,1,42
2020-03-13,Hawaii,1415872,0,2
2020-03-13,Idaho,1787065,0,1
2020-03-13,Illinois,12671821,0,46
2020-03-13,Indiana,6732219,0,13
2020-03-13,Iowa,3155070,0,17
2020-03-13,Kansas,2913314,1,6
2020-03-13,Kentucky,4467673,0,14
2020-03-13,Louisiana,4648794,0,29
2020-03-13,Maine,1344212,0,3
2020-03-13,Maryland,6045680,0,18
2020-03-13,Massachusetts,6892503,0,123
2020-03-13,Michigan,9986857,0,16
2020-03-13,Minnesota,5639632,0,14
2020-03-13,Mississippi,2976149,0,6
2020-03-13,Missouri,6626371,0,4
2020-03-13,Montana,1068778,0,1
2020-03-13,Nebraska,1934408,0,14
2020-03-13,Nevada,3080156,0,18
2020-03-13,New Hampshire,1359711,0,6
2020-03-13,New Jersey,8882190,1,49
2020-03-13,New Mexico,2096829,0,10
2020-03-13,New York,23628065,0,421
2020-03-13,North Carolina,10488084,0,17
2020-03-13,North Dakota,762062,0,1
2020-03-13,Ohio,11689100,0,12
2020-03-13,Oklahoma,3956971,0,3
2020-03-13,Oregon,4217737,0,30
2020-03-13,Pennsylvania,12801989,0,41
2020-03-13,Rhode Island,1059361,0,12
2020-03-13,South Carolina,5148714,0,8
2020-03-13,South Dakota,884659,1,8
2020-03-13,Tennessee,6829174,0,26
2020-03-13,Texas,28995881,0,44
2020-03-13,Utah,3205958,0,9
2020-03-13,Vermont,623989,0,2
2020-03-13,Virginia,8535519,0,27
2020-03-13,Washington,7614893,37,568
2020-03-13,Wisconsin,5822434,0,19
2020-03-13,Wyoming,578759,0,1
2020-03-14,Alabama,4903185,0,7
2020-03-14,Alaska,731545,0,1
2020-03-14,Arizona,7278717,0,12
2020-03-14,Arkansas,3017804,0,12
2020-03-14,California,39512223,3,372
2020-03-14,Colorado,5758736,0,101
2020-03-14,Connecticut,3565287,0,23
2020-03-14,Delaware,973764,0,6
2020-03-14,Florida,21477737,2,76
2020-03-14,Georgia,10617423,1,73
2020-03-14,Hawaii,1415872,0,4
2020-03-14,Idaho,1787065,0,2
2020-03-14,Illinois,12671821,0,64
2020-03-14,Indiana,6732219,0,16
2020-03-14,Iowa,3155070,0,17
2020-03-14,Kansas,2913314,1,8
2020-03-14,Kentucky,4467673,0,16
2020-03-14,Louisiana,4648794,1,77
2020-03-14,Maine,1344212,0,3
2020-03-14,Maryland,6045680,0,27
2020-03-14,Massachusetts,6892503,0,138
2020-03-14,Michigan,9986857,0,25
2020-03-14,Minnesota,5639632,0,21
2020-03-14,Mississippi,2976149,0,6
2020-03-14,Missouri,6626371,0,4
2020-03-14,Montana,1068778,0,5
2020-03-14,Nebraska,1934408,0,18
2020-03-14,Nevada,3080156,0,20
2020-03-14,New Hampshire,1359711,0,7
2020-03-14,New Jersey,8882190,1,69
2020-03-14,New Mexico,2096829,0,13
2020-03-14,New York,23628065,2,613
2020-03-14,North Carolina,10488084,0,25
2020-03-14,North Dakota,762062,0,1
2020-03-14,Ohio,11689100,0,26
2020-03-14,Oklahoma,3956971,0,4
2020-03-14,Oregon,4217737,0,36
2020-03-14,Pennsylvania,12801989,0,47
2020-03-14,Rhode Island,1059361,0,20
2020-03-14,South Carolina,5148714,0,19
2020-03-14,South Dakota,884659,1,8
2020-03-14,Tennessee,6829174,0,32
2020-03-14,Texas,28995881,0,60
2020-03-14,Utah,3205958,0,10
2020-03-14,Vermont,623989,0,5
2020-03-14,Virginia,8535519,1,37
2020-03-14,Washington,7614893,39,642
2020-03-14,Wisconsin,5822434,0,27
2020-03-14,Wyoming,578759,0,2
2020-03-15,Alabama,4903185,0,11
2020-03-15,Alaska,731545,0,1
2020-03-15,Arizona,7278717,0,12
2020-03-15,Arkansas,3017804,0,3
2020-03-15,California,39512223,5,373
2020-03-15,Colorado,5758736,1,99
2020-03-15,Connecticut,3565287,0,24
2020-03-15,Delaware,973764,0,6
2020-03-15,Florida,21477737,3,100
2020-03-15,Georgia,10617423,1,99
2020-03-15,Hawaii,1415872,0,6
2020-03-15,Idaho,1787065,0,4
2020-03-15,Illinois,12671821,0,66
2020-03-15,Indiana,6732219,0,20
2020-03-15,Iowa,3155070,0,18
2020-03-15,Kansas,2913314,1,8
2020-03-15,Kentucky,4467673,0,18
2020-03-15,Louisiana,4648794,2,87
2020-03-15,Maine,1344212,0,2
2020-03-15,Maryland,6045680,0,24
2020-03-15,Massachusetts,6892503,0,138
2020-03-15,Michigan,9986857,0,32
2020-03-15,Minnesota,5639632,0,21
2020-03-15,Mississippi,2976149,0,6
2020-03-15,Missouri,6626371,0,5
2020-03-15,Montana,1068778,0,6
2020-03-15,Nebraska,1934408,0,17
2020-03-15,Nevada,3080156,0,20
2020-03-15,New Hampshire,1359711,0,7
2020-03-15,New Jersey,8882190,2,72
2020-03-15,New Mexico,2096829,0,13
2020-03-15,New York,23628065,2,615
2020-03-15,North Carolina,10488084,0,32
2020-03-15,North Dakota,762062,0,1
2020-03-15,Ohio,11689100,0,30
2020-03-15,Oklahoma,3956971,0,4
2020-03-15,Oregon,4217737,1,36
2020-03-15,Pennsylvania,12801989,0,47
2020-03-15,Rhode Island,1059361,0,20
2020-03-15,South Carolina,5148714,0,19
2020-03-15,South Dakota,884659,1,8
2020-03-15,Tennessee,6829174,0,32
2020-03-15,Texas,28995881,0,63
2020-03-15,Utah,3205958,0,18
2020-03-15,Vermont,623989,0,5
2020-03-15,Virginia,8535519,1,37
2020-03-15,Washington,7614893,40,603
2020-03-15,Wisconsin,5822434,0,28
2020-03-15,Wyoming,578759,0,2
2020-03-16,Alabama,4903185,0,29
2020-03-16,Alaska,731545,0,1
2020-03-16,Arizona,7278717,0,18
2020-03-16,Arkansas,3017804,0,3
2020-03-16,California,39512223,7,557
2020-03-16,Colorado,5758736,1,132
2020-03-16,Connecticut,3565287,0,41
2020-03-16,Delaware,973764,0,8
2020-03-16,District of Columbia,705749,0,22
2020-03-16,Florida,21477737,3,101
2020-03-16,Georgia,10617423,1,121
2020-03-16,Hawaii,1415872,0,8
2020-03-16,Idaho,1787065,0,4
2020-03-16,Illinois,12671821,0,83
2020-03-16,Indiana,6732219,1,25
2020-03-16,Iowa,3155070,0,23
2020-03-16,Kansas,2913314,1,11
2020-03-16,Kentucky,4467673,1,21
2020-03-16,Louisiana,4648794,3,115
2020-03-16,Maine,1344212,0,17
2020-03-16,Maryland,6045680,0,42
2020-03-16,Massachusetts,6892503,0,187
2020-03-16,Michigan,9986857,0,54
2020-03-16,Minnesota,5639632,0,53
